title,text,label
The prime minister's office held a press briefing to clarify recent changes related to employment data,The prime minister's office held a press briefing to clarify recent changes related to employment data. The agency stated that additional updates would follow after review. The agency stated that additional updates would follow after review. The agency stated that additional updates would follow after review. Officials said further details would be shared in an upcoming press release. The report is available on the official website for public review.,REAL
Mainstream media REFUSES to report this about unnamed officials and the election results,"Mainstream media REFUSES to report this about unnamed officials and the election results No official has denied these claims, which only proves they are true. Thousands of people are waking up to the truth every single day. This is not a drill. Everything you thought you knew is a lie.",FAKE
Doctors HATE this one trick the government doesn't want you to know about chemtrails,"Doctors HATE this one trick the government doesn't want you to know about chemtrails Screenshots and forwarded messages confirm every detail of this story. Screenshots and forwarded messages confirm every detail of this story. Experts are too afraid to speak up, but one brave whistleblower finally did. Share this before it gets DELETED by the censors! Screenshots and forwarded messages confirm every detail of this story.",FAKE
BREAKING: Secret documents PROVE the media lied about chemtrails all along,"BREAKING: Secret documents PROVE the media lied about chemtrails all along No official has denied these claims, which only proves they are true. The evidence is being suppressed, but we obtained exclusive access. According to sources who wish to remain anonymous, this has been going on for decades. The evidence is being suppressed, but we obtained exclusive access.",FAKE
The parliamentary committee published a study on public health funding after peer review,The parliamentary committee published a study on public health funding after peer review. Committee members are expected to discuss the matter further next month. Representatives clarified that no final decision has been made yet. The findings were published following a standard peer-review process. Officials said further details would be shared in an upcoming press release.,REAL
Nasa issued a statement addressing public concerns about trade regulations,Nasa issued a statement addressing public concerns about trade regulations. A spokesperson confirmed the timeline for implementation is still being finalized. Representatives clarified that no final decision has been made yet. Data was collected in accordance with established regulatory standards.,REAL
Anonymous insider reveals hidden corporations has been faking chemtrails data for years,"Anonymous insider reveals hidden corporations has been faking chemtrails data for years The evidence is being suppressed, but we obtained exclusive access. Screenshots and forwarded messages confirm every detail of this story. This is not a drill. Everything you thought you knew is a lie. Share this before it gets DELETED by the censors! No official has denied these claims, which only proves they are true.",FAKE
URGENT WARNING: the elite is planning something terrifying with population control,"URGENT WARNING: the elite is planning something terrifying with population control Experts are too afraid to speak up, but one brave whistleblower finally did. Screenshots and forwarded messages confirm every detail of this story. Wake up! The mainstream narrative simply does not add up. Experts are too afraid to speak up, but one brave whistleblower finally did.",FAKE
The ministry of finance issued a statement addressing public concerns about public health funding,The ministry of finance issued a statement addressing public concerns about public health funding. Data was collected in accordance with established regulatory standards. Data was collected in accordance with established regulatory standards. The agency stated that additional updates would follow after review. Officials said further details would be shared in an upcoming press release.,REAL
BREAKING: Secret documents PROVE a rogue agency lied about cryptocurrency all along,"BREAKING: Secret documents PROVE a rogue agency lied about cryptocurrency all along Screenshots and forwarded messages confirm every detail of this story. Thousands of people are waking up to the truth every single day. The evidence is being suppressed, but we obtained exclusive access. Thousands of people are waking up to the truth every single day. Thousands of people are waking up to the truth every single day.",FAKE
"The stock exchange released its quarterly report on digital privacy, showing measured progress","The stock exchange released its quarterly report on digital privacy, showing measured progress. The findings were published following a standard peer-review process. The statement was corroborated by multiple independent sources. Committee members are expected to discuss the matter further next month. The statement was corroborated by multiple independent sources. A spokesperson confirmed the timeline for implementation is still being finalized.",REAL
BREAKING: Secret documents PROVE the media lied about chemtrails all along,"BREAKING: Secret documents PROVE the media lied about chemtrails all along Screenshots and forwarded messages confirm every detail of this story. Wake up! The mainstream narrative simply does not add up. Thousands of people are waking up to the truth every single day. According to sources who wish to remain anonymous, this has been going on for decades.",FAKE
The state government scheduled a public consultation regarding employment data reforms,The state government scheduled a public consultation regarding employment data reforms. Data was collected in accordance with established regulatory standards. The statement was corroborated by multiple independent sources. The findings were published following a standard peer-review process. Committee members are expected to discuss the matter further next month.,REAL
The parliamentary committee issued a statement addressing public concerns about digital privacy,The parliamentary committee issued a statement addressing public concerns about digital privacy. The report is available on the official website for public review. The agency stated that additional updates would follow after review. The agency stated that additional updates would follow after review. The report is available on the official website for public review. The report is available on the official website for public review.,REAL
The prime minister's office scheduled a public consultation regarding employment data reforms,The prime minister's office scheduled a public consultation regarding employment data reforms. Independent analysts noted the changes are consistent with prior guidance. The statement was corroborated by multiple independent sources. Data was collected in accordance with established regulatory standards. The agency stated that additional updates would follow after review.,REAL
Nasa published a study on public health funding after peer review,Nasa published a study on public health funding after peer review. A spokesperson confirmed the timeline for implementation is still being finalized. Data was collected in accordance with established regulatory standards. Representatives clarified that no final decision has been made yet. The statement was corroborated by multiple independent sources. The statement was corroborated by multiple independent sources.,REAL
The prime minister's office approved a budget allocation for trade regulations initiatives,The prime minister's office approved a budget allocation for trade regulations initiatives. Representatives clarified that no final decision has been made yet. Data was collected in accordance with established regulatory standards. The agency stated that additional updates would follow after review. Committee members are expected to discuss the matter further next month. A spokesperson confirmed the timeline for implementation is still being finalized.,REAL
SHOCKING: You won't believe what Big Pharma is hiding about chemtrails!,SHOCKING: You won't believe what Big Pharma is hiding about chemtrails! Thousands of people are waking up to the truth every single day. Screenshots and forwarded messages confirm every detail of this story. Sources close to the matter say the cover-up goes all the way to the top.,FAKE
Anonymous insider reveals Big Pharma has been faking the economy data for years,"Anonymous insider reveals Big Pharma has been faking the economy data for years Thousands of people are waking up to the truth every single day. Sources close to the matter say the cover-up goes all the way to the top. No official has denied these claims, which only proves they are true. Sources close to the matter say the cover-up goes all the way to the top. No official has denied these claims, which only proves they are true.",FAKE
The ministry of health issued a statement addressing public concerns about agricultural subsidies,The ministry of health issued a statement addressing public concerns about agricultural subsidies. The report is available on the official website for public review. Data was collected in accordance with established regulatory standards. Officials said further details would be shared in an upcoming press release. Committee members are expected to discuss the matter further next month.,REAL
The state government scheduled a public consultation regarding interest rates reforms,The state government scheduled a public consultation regarding interest rates reforms. The agency stated that additional updates would follow after review. Committee members are expected to discuss the matter further next month. Independent analysts noted the changes are consistent with prior guidance. Officials said further details would be shared in an upcoming press release.,REAL
Doctors HATE this one trick a rogue agency doesn't want you to know about weather control,"Doctors HATE this one trick a rogue agency doesn't want you to know about weather control According to sources who wish to remain anonymous, this has been going on for decades. According to sources who wish to remain anonymous, this has been going on for decades. Screenshots and forwarded messages confirm every detail of this story. This is not a drill. Everything you thought you knew is a lie.",FAKE
Local municipal authorities approved a budget allocation for agricultural subsidies initiatives,Local municipal authorities approved a budget allocation for agricultural subsidies initiatives. Data was collected in accordance with established regulatory standards. The agency stated that additional updates would follow after review. The report is available on the official website for public review.,REAL
The prime minister's office approved a budget allocation for education reform initiatives,The prime minister's office approved a budget allocation for education reform initiatives. Independent analysts noted the changes are consistent with prior guidance. Committee members are expected to discuss the matter further next month. Committee members are expected to discuss the matter further next month. Committee members are expected to discuss the matter further next month. Data was collected in accordance with established regulatory standards.,REAL
"The central bank released its quarterly report on renewable energy, showing measured progress","The central bank released its quarterly report on renewable energy, showing measured progress. The report is available on the official website for public review. The report is available on the official website for public review. Data was collected in accordance with established regulatory standards.",REAL
Mainstream media REFUSES to report this about shadow scientists and the internet,"Mainstream media REFUSES to report this about shadow scientists and the internet No official has denied these claims, which only proves they are true. According to sources who wish to remain anonymous, this has been going on for decades. Sources close to the matter say the cover-up goes all the way to the top.",FAKE
BREAKING: Secret documents PROVE the media lied about population control all along,"BREAKING: Secret documents PROVE the media lied about population control all along The evidence is being suppressed, but we obtained exclusive access. Wake up! The mainstream narrative simply does not add up. Share this before it gets DELETED by the censors! No official has denied these claims, which only proves they are true.",FAKE
The university research team issued a statement addressing public concerns about climate policy,The university research team issued a statement addressing public concerns about climate policy. Officials said further details would be shared in an upcoming press release. The report is available on the official website for public review. Representatives clarified that no final decision has been made yet. Independent analysts noted the changes are consistent with prior guidance. The findings were published following a standard peer-review process.,REAL
Mainstream media REFUSES to report this about the deep state and the election results,"Mainstream media REFUSES to report this about the deep state and the election results According to sources who wish to remain anonymous, this has been going on for decades. Wake up! The mainstream narrative simply does not add up. The evidence is being suppressed, but we obtained exclusive access. Wake up! The mainstream narrative simply does not add up.",FAKE
"EXPOSED: unnamed officials caught in massive your food supply cover-up, insiders reveal","EXPOSED: unnamed officials caught in massive your food supply cover-up, insiders reveal Screenshots and forwarded messages confirm every detail of this story. Screenshots and forwarded messages confirm every detail of this story. Sources close to the matter say the cover-up goes all the way to the top.",FAKE
SHOCKING: You won't believe what the media is hiding about the economy!,"SHOCKING: You won't believe what the media is hiding about the economy! This is not a drill. Everything you thought you knew is a lie. The evidence is being suppressed, but we obtained exclusive access. Wake up! The mainstream narrative simply does not add up. Sources close to the matter say the cover-up goes all the way to the top. Wake up! The mainstream narrative simply does not add up.",FAKE
The election commission held a press briefing to clarify recent changes related to climate policy,The election commission held a press briefing to clarify recent changes related to climate policy. Independent analysts noted the changes are consistent with prior guidance. A spokesperson confirmed the timeline for implementation is still being finalized. The report is available on the official website for public review. Data was collected in accordance with established regulatory standards.,REAL
The university research team provided updated guidelines concerning interest rates for the coming year,The university research team provided updated guidelines concerning interest rates for the coming year. The statement was corroborated by multiple independent sources. The findings were published following a standard peer-review process. The agency stated that additional updates would follow after review. The report is available on the official website for public review. The agency stated that additional updates would follow after review.,REAL
The ministry of finance approved a budget allocation for digital privacy initiatives,The ministry of finance approved a budget allocation for digital privacy initiatives. Representatives clarified that no final decision has been made yet. Committee members are expected to discuss the matter further next month. Independent analysts noted the changes are consistent with prior guidance. A spokesperson confirmed the timeline for implementation is still being finalized.,REAL
SHOCKING: You won't believe what shadow scientists is hiding about the water supply!,"SHOCKING: You won't believe what shadow scientists is hiding about the water supply! Experts are too afraid to speak up, but one brave whistleblower finally did. This is not a drill. Everything you thought you knew is a lie. Share this before it gets DELETED by the censors!",FAKE
Nasa scheduled a public consultation regarding vaccine distribution reforms,Nasa scheduled a public consultation regarding vaccine distribution reforms. Independent analysts noted the changes are consistent with prior guidance. Officials said further details would be shared in an upcoming press release. The agency stated that additional updates would follow after review. The report is available on the official website for public review. Committee members are expected to discuss the matter further next month.,REAL
Nasa scheduled a public consultation regarding digital privacy reforms,Nasa scheduled a public consultation regarding digital privacy reforms. Data was collected in accordance with established regulatory standards. Representatives clarified that no final decision has been made yet. Officials said further details would be shared in an upcoming press release. The agency stated that additional updates would follow after review.,REAL
The state government announced a new policy on trade regulations following months of deliberation,The state government announced a new policy on trade regulations following months of deliberation. The findings were published following a standard peer-review process. Officials said further details would be shared in an upcoming press release. Independent analysts noted the changes are consistent with prior guidance.,REAL
You will be SHOCKED to learn the real truth behind Big Pharma and the election results,"You will be SHOCKED to learn the real truth behind Big Pharma and the election results According to sources who wish to remain anonymous, this has been going on for decades. According to sources who wish to remain anonymous, this has been going on for decades. The evidence is being suppressed, but we obtained exclusive access.",FAKE
The ministry of health issued a statement addressing public concerns about renewable energy,The ministry of health issued a statement addressing public concerns about renewable energy. Independent analysts noted the changes are consistent with prior guidance. The agency stated that additional updates would follow after review. Officials said further details would be shared in an upcoming press release. Independent analysts noted the changes are consistent with prior guidance.,REAL
URGENT WARNING: the government is planning something terrifying with chemtrails,"URGENT WARNING: the government is planning something terrifying with chemtrails According to sources who wish to remain anonymous, this has been going on for decades. The evidence is being suppressed, but we obtained exclusive access. The evidence is being suppressed, but we obtained exclusive access. Share this before it gets DELETED by the censors! Share this before it gets DELETED by the censors!",FAKE
The parliamentary committee provided updated guidelines concerning trade regulations for the coming year,The parliamentary committee provided updated guidelines concerning trade regulations for the coming year. Officials said further details would be shared in an upcoming press release. The agency stated that additional updates would follow after review. Representatives clarified that no final decision has been made yet. The report is available on the official website for public review.,REAL
URGENT WARNING: Big Pharma is planning something terrifying with chemtrails,"URGENT WARNING: Big Pharma is planning something terrifying with chemtrails Experts are too afraid to speak up, but one brave whistleblower finally did. Sources close to the matter say the cover-up goes all the way to the top. This is not a drill. Everything you thought you knew is a lie.",FAKE
"This changes EVERYTHING: a rogue agency secretly controls population control, leaked memo shows","This changes EVERYTHING: a rogue agency secretly controls population control, leaked memo shows Share this before it gets DELETED by the censors! Thousands of people are waking up to the truth every single day. Thousands of people are waking up to the truth every single day. Experts are too afraid to speak up, but one brave whistleblower finally did. Share this before it gets DELETED by the censors!",FAKE
The election commission published a study on interest rates after peer review,The election commission published a study on interest rates after peer review. Committee members are expected to discuss the matter further next month. Officials said further details would be shared in an upcoming press release. Independent analysts noted the changes are consistent with prior guidance. Independent analysts noted the changes are consistent with prior guidance.,REAL
The supreme court provided updated guidelines concerning digital privacy for the coming year,The supreme court provided updated guidelines concerning digital privacy for the coming year. The report is available on the official website for public review. The report is available on the official website for public review. The agency stated that additional updates would follow after review. The statement was corroborated by multiple independent sources.,REAL
BREAKING: Secret documents PROVE unnamed officials lied about weather control all along,"BREAKING: Secret documents PROVE unnamed officials lied about weather control all along Sources close to the matter say the cover-up goes all the way to the top. This is not a drill. Everything you thought you knew is a lie. Share this before it gets DELETED by the censors! According to sources who wish to remain anonymous, this has been going on for decades. Share this before it gets DELETED by the censors!",FAKE
Leaked footage allegedly shows shadow scientists orchestrating a the internet conspiracy,"Leaked footage allegedly shows shadow scientists orchestrating a the internet conspiracy Sources close to the matter say the cover-up goes all the way to the top. Sources close to the matter say the cover-up goes all the way to the top. Thousands of people are waking up to the truth every single day. The evidence is being suppressed, but we obtained exclusive access.",FAKE
The university research team announced a new policy on vaccine distribution following months of deliberation,The university research team announced a new policy on vaccine distribution following months of deliberation. The report is available on the official website for public review. The findings were published following a standard peer-review process. The agency stated that additional updates would follow after review. Data was collected in accordance with established regulatory standards. The agency stated that additional updates would follow after review.,REAL
"The world health organization released its quarterly report on renewable energy, showing measured progress","The world health organization released its quarterly report on renewable energy, showing measured progress. Data was collected in accordance with established regulatory standards. The agency stated that additional updates would follow after review. The report is available on the official website for public review.",REAL
The state government announced a new policy on agricultural subsidies following months of deliberation,The state government announced a new policy on agricultural subsidies following months of deliberation. The agency stated that additional updates would follow after review. The findings were published following a standard peer-review process. A spokesperson confirmed the timeline for implementation is still being finalized. The statement was corroborated by multiple independent sources. Committee members are expected to discuss the matter further next month.,REAL
The world health organization published a study on urban transport after peer review,The world health organization published a study on urban transport after peer review. The statement was corroborated by multiple independent sources. The agency stated that additional updates would follow after review. Independent analysts noted the changes are consistent with prior guidance. The agency stated that additional updates would follow after review. Representatives clarified that no final decision has been made yet.,REAL
Local municipal authorities approved a budget allocation for employment data initiatives,Local municipal authorities approved a budget allocation for employment data initiatives. Representatives clarified that no final decision has been made yet. Committee members are expected to discuss the matter further next month. Committee members are expected to discuss the matter further next month. The agency stated that additional updates would follow after review.,REAL
The central bank signed an agreement with international partners on renewable energy,The central bank signed an agreement with international partners on renewable energy. The findings were published following a standard peer-review process. Representatives clarified that no final decision has been made yet. The statement was corroborated by multiple independent sources.,REAL
Doctors HATE this one trick hidden corporations doesn't want you to know about cryptocurrency,"Doctors HATE this one trick hidden corporations doesn't want you to know about cryptocurrency According to sources who wish to remain anonymous, this has been going on for decades. Wake up! The mainstream narrative simply does not add up. According to sources who wish to remain anonymous, this has been going on for decades. Share this before it gets DELETED by the censors! According to sources who wish to remain anonymous, this has been going on for decades.",FAKE
The election commission scheduled a public consultation regarding urban transport reforms,The election commission scheduled a public consultation regarding urban transport reforms. The agency stated that additional updates would follow after review. Officials said further details would be shared in an upcoming press release. Committee members are expected to discuss the matter further next month. The statement was corroborated by multiple independent sources.,REAL
"EXPOSED: hidden corporations caught in massive the moon landing cover-up, insiders reveal","EXPOSED: hidden corporations caught in massive the moon landing cover-up, insiders reveal Wake up! The mainstream narrative simply does not add up. Experts are too afraid to speak up, but one brave whistleblower finally did. Experts are too afraid to speak up, but one brave whistleblower finally did. Thousands of people are waking up to the truth every single day. Wake up! The mainstream narrative simply does not add up.",FAKE
The prime minister's office issued a statement addressing public concerns about employment data,The prime minister's office issued a statement addressing public concerns about employment data. The report is available on the official website for public review. The findings were published following a standard peer-review process. The findings were published following a standard peer-review process. The agency stated that additional updates would follow after review. A spokesperson confirmed the timeline for implementation is still being finalized.,REAL
The stock exchange announced a new policy on renewable energy following months of deliberation,The stock exchange announced a new policy on renewable energy following months of deliberation. Independent analysts noted the changes are consistent with prior guidance. Data was collected in accordance with established regulatory standards. Independent analysts noted the changes are consistent with prior guidance. The report is available on the official website for public review. The agency stated that additional updates would follow after review.,REAL
Anonymous insider reveals the media has been faking the economy data for years,"Anonymous insider reveals the media has been faking the economy data for years Screenshots and forwarded messages confirm every detail of this story. According to sources who wish to remain anonymous, this has been going on for decades. Sources close to the matter say the cover-up goes all the way to the top.",FAKE
URGENT WARNING: the media is planning something terrifying with your food supply,"URGENT WARNING: the media is planning something terrifying with your food supply The evidence is being suppressed, but we obtained exclusive access. The evidence is being suppressed, but we obtained exclusive access. This is not a drill. Everything you thought you knew is a lie.",FAKE
The university research team provided updated guidelines concerning digital privacy for the coming year,The university research team provided updated guidelines concerning digital privacy for the coming year. Independent analysts noted the changes are consistent with prior guidance. Committee members are expected to discuss the matter further next month. The report is available on the official website for public review.,REAL
"The world health organization released its quarterly report on education reform, showing measured progress","The world health organization released its quarterly report on education reform, showing measured progress. The report is available on the official website for public review. A spokesperson confirmed the timeline for implementation is still being finalized. The statement was corroborated by multiple independent sources. Officials said further details would be shared in an upcoming press release.",REAL
The prime minister's office provided updated guidelines concerning public health funding for the coming year,The prime minister's office provided updated guidelines concerning public health funding for the coming year. Representatives clarified that no final decision has been made yet. Committee members are expected to discuss the matter further next month. Data was collected in accordance with established regulatory standards.,REAL
"EXPOSED: a rogue agency caught in massive the moon landing cover-up, insiders reveal","EXPOSED: a rogue agency caught in massive the moon landing cover-up, insiders reveal Sources close to the matter say the cover-up goes all the way to the top. Share this before it gets DELETED by the censors! Wake up! The mainstream narrative simply does not add up.",FAKE
"EXPOSED: the elite caught in massive population control cover-up, insiders reveal","EXPOSED: the elite caught in massive population control cover-up, insiders reveal Screenshots and forwarded messages confirm every detail of this story. According to sources who wish to remain anonymous, this has been going on for decades. According to sources who wish to remain anonymous, this has been going on for decades. Thousands of people are waking up to the truth every single day. Share this before it gets DELETED by the censors!",FAKE
Mainstream media REFUSES to report this about Big Pharma and 5G towers,"Mainstream media REFUSES to report this about Big Pharma and 5G towers Experts are too afraid to speak up, but one brave whistleblower finally did. Wake up! The mainstream narrative simply does not add up. No official has denied these claims, which only proves they are true. No official has denied these claims, which only proves they are true. Sources close to the matter say the cover-up goes all the way to the top.",FAKE
The central bank signed an agreement with international partners on employment data,The central bank signed an agreement with international partners on employment data. Committee members are expected to discuss the matter further next month. The agency stated that additional updates would follow after review. The statement was corroborated by multiple independent sources. Representatives clarified that no final decision has been made yet. Data was collected in accordance with established regulatory standards.,REAL
The prime minister's office published a study on vaccine distribution after peer review,The prime minister's office published a study on vaccine distribution after peer review. The agency stated that additional updates would follow after review. A spokesperson confirmed the timeline for implementation is still being finalized. Representatives clarified that no final decision has been made yet. A spokesperson confirmed the timeline for implementation is still being finalized. The findings were published following a standard peer-review process.,REAL
"This changes EVERYTHING: the media secretly controls the internet, leaked memo shows","This changes EVERYTHING: the media secretly controls the internet, leaked memo shows Thousands of people are waking up to the truth every single day. Experts are too afraid to speak up, but one brave whistleblower finally did. Experts are too afraid to speak up, but one brave whistleblower finally did. Wake up! The mainstream narrative simply does not add up. Wake up! The mainstream narrative simply does not add up.",FAKE
SHOCKING: You won't believe what unnamed officials is hiding about population control!,SHOCKING: You won't believe what unnamed officials is hiding about population control! Sources close to the matter say the cover-up goes all the way to the top. Thousands of people are waking up to the truth every single day. Sources close to the matter say the cover-up goes all the way to the top.,FAKE
The ministry of finance provided updated guidelines concerning digital privacy for the coming year,The ministry of finance provided updated guidelines concerning digital privacy for the coming year. Representatives clarified that no final decision has been made yet. The findings were published following a standard peer-review process. Committee members are expected to discuss the matter further next month.,REAL
You will be SHOCKED to learn the real truth behind the government and the election results,"You will be SHOCKED to learn the real truth behind the government and the election results According to sources who wish to remain anonymous, this has been going on for decades. Thousands of people are waking up to the truth every single day. According to sources who wish to remain anonymous, this has been going on for decades. No official has denied these claims, which only proves they are true.",FAKE
The university research team signed an agreement with international partners on digital privacy,The university research team signed an agreement with international partners on digital privacy. Data was collected in accordance with established regulatory standards. Independent analysts noted the changes are consistent with prior guidance. A spokesperson confirmed the timeline for implementation is still being finalized. The statement was corroborated by multiple independent sources. Independent analysts noted the changes are consistent with prior guidance.,REAL
